試験深度,砂,シルト,粘土,土粒子密度,distance,wl0
-21.450000762939453,14.0,46.0,40.0,2.625999927520752,2122.6064453125,72.5999984741211
-47.29999923706055,1.0,25.0,74.0,2.75,7596.37060546875,69.80000305175781
-21.600000381469727,3.0,54.0,43.0,2.6689999103546143,4044.38623046875,108.9000015258789
-15.890000343322754,47.0,27.0,20.0,2.6519999504089355,453.1455993652344,32.099998474121094
-27.100000381469727,0.0,49.0,51.0,2.680999994277954,5904.5302734375,90.5
-21.329999923706055,42.0,35.0,22.0,2.6559998989105225,3100.778564453125,39.599998474121094
-25.399999618530273,1.0,38.0,61.0,2.7330000400543213,6521.95361328125,89.69999694824219
-41.22999954223633,2.0,27.0,71.0,2.7119998931884766,7618.31689453125,80.5
-27.0,1.0,35.0,64.0,2.6559998989105225,6542.29833984375,88.5
-18.0,1.0,41.0,58.0,2.7049999237060547,7559.294921875,95.9000015258789
-43.900001525878906,1.0,27.0,72.0,2.7320001125335693,7447.41845703125,78.80000305175781
-45.400001525878906,0.0,34.0,66.0,2.740999937057495,7082.2646484375,67.19999694824219
-48.25,0.0,31.0,69.0,2.7230000495910645,7523.443359375,74.9000015258789
-34.099998474121094,1.0,39.0,60.0,2.688999891281128,6242.24951171875,85.9000015258789
-19.200000762939453,2.0,38.0,60.0,2.6470000743865967,5192.0009765625,113.80000305175781
-23.399999618530273,1.0,33.0,66.0,2.7039999961853027,6521.95361328125,90.0
-33.22999954223633,1.0,36.0,63.0,2.680000066757202,7618.31689453125,83.0
-24.170000076293945,13.0,32.0,55.0,2.6500000953674316,2391.414306640625,30.100000381469727
-40.400001525878906,2.0,42.0,56.0,2.736999988555908,7253.40869140625,75.69999694824219
-35.31999969482422,24.0,34.0,42.0,2.690999984741211,5386.92919921875,74.80000305175781
-43.79999923706055,1.0,33.0,66.0,2.7209999561309814,7488.591796875,74.5999984741211
-46.970001220703125,0.0,27.0,73.0,2.7269999980926514,7270.08740234375,81.5999984741211
-51.70000076293945,1.0,43.0,56.0,2.6989998817443848,7671.064453125,63.20000076293945
-31.049999237060547,44.0,24.0,21.0,2.7139999866485596,3753.5146484375,32.5
-17.399999618530273,29.0,26.0,33.0,2.684000015258789,3100.778564453125,80.69999694824219
-23.799999237060547,1.0,51.0,48.0,2.690999984741211,5213.552734375,91.69999694824219
-33.099998474121094,1.0,34.0,65.0,2.7049999237060547,6440.28466796875,82.0999984741211
-27.329999923706055,0.0,47.0,53.0,2.677999973297119,5386.92919921875,91.0999984741211
-22.59000015258789,0.0,0.0,0.0,0.0,3553.359130859375,83.9000015258789
-41.29999923706055,0.0,42.0,58.0,2.680999994277954,6551.03759765625,72.0999984741211
-36.5,41.0,40.0,19.0,2.635999917984009,5469.0263671875,35.099998474121094
-36.099998474121094,3.0,47.0,50.0,2.700000047683716,6242.24951171875,86.5999984741211
-45.650001525878906,1.0,36.0,63.0,2.7269999980926514,7671.064453125,78.5999984741211
-48.900001525878906,2.0,23.0,75.0,2.7360000610351562,7559.294921875,67.5999984741211
-47.45000076293945,0.0,38.0,62.0,2.740999937057495,7447.41845703125,66.5999984741211
-44.04999923706055,1.0,19.0,80.0,2.7060000896453857,7618.31689453125,90.30000305175781
-32.5,11.0,43.0,43.0,2.6570000648498535,5411.4072265625,67.0
-16.399999618530273,7.0,53.0,40.0,2.6530001163482666,1645.87890625,89.5
-48.95000076293945,0.0,31.0,69.0,2.7230000495910645,7447.41845703125,73.19999694824219
-22.299999237060547,0.0,56.0,44.0,2.6530001163482666,5265.06787109375,98.0999984741211
-26.299999237060547,0.0,56.0,44.0,2.6589999198913574,5265.06787109375,86.0999984741211
