kyori,Z0,wl0
4368.710956,-19.51,95.3
4368.710956,-17.51,96.3
4368.710956,-23.51,96.4
4292.002543,-30.25,33
4292.002543,-31.85,33
4292.002543,-33.45,45.5
4292.002543,-26.9,87.5
4292.002543,-23.9,90
4292.002543,-20.4,97
4292.002543,-22.2,100
3961.401947,-31.15,32.1
3961.401947,-33.3,42.7
3961.401947,-32.3,56.5
3961.401947,-30.3,65.5
3961.401947,-29.3,89.2
3961.401947,-19.3,89.7
3961.401947,-27.3,90.1
3961.401947,-24.3,91.1
3961.401947,-17.3,94.2
3961.401947,-26.3,94.4
3961.401947,-28.3,95.1
3961.401947,-23.3,95.4
3961.401947,-16.3,96
3961.401947,-25.3,96.7
3961.401947,-20.3,97.3
3961.401947,-21.3,97.4
3961.401947,-22.3,98.1
3961.401947,-18.3,98.7
3961.401947,-15.3,98.9
3753.514721,-31.5,27
3753.514721,-31.05,32.5
3753.514721,-30.15,39
3753.514721,-29.3,52.5
3753.514721,-28.55,90
3748.377233,-31.25,27.5
3748.377233,-30.7,29
3748.377233,-30.1,30
3748.377233,-32.5,30
3748.377233,-29,79.5
3564.921362,-30.81,28.7
3564.921362,-31.16,43.1
3564.921362,-30.03,75.9
3564.921362,-29.03,88.9
3564.921362,-28.03,93
3564.921362,-27.03,97.9
3553.359012,-26.59,74.8
3553.359012,-25.59,82.8
3553.359012,-23.59,83.4
3553.359012,-22.59,83.9
3553.359012,-21.59,86
3553.359012,-24.59,86.8
3553.359012,-20.59,87.3
3469.294144,-25.45,81
3368.676215,-19.5,96.5
3368.676215,-23.5,96.7
3368.676215,-21.5,99
3318.739081,-25.81,72.1
3318.739081,-17.59,85.4
3318.739081,-16.11,85.7
3318.739081,-19.11,87.5
3318.739081,-20.9,87.8
3318.739081,-23.94,88.1
3318.739081,-22.51,88.4
3277.467006,-28.37,78.2
3277.467006,-26.62,85.6
3277.467006,-24.62,91.7
3277.467006,-22.62,97.8
3263.807183,-26.84,35.5
3263.807183,-28.43,44.3
3263.807183,-19.76,88.9
3263.807183,-21.24,89.4
3263.807183,-24.15,90.4
3263.807183,-18.3,91.2
3263.807183,-22.67,92.2
3078.817978,-25.94,87.8
3078.817978,-23.26,89.5
3065.875331,-25.94,70
3065.875331,-23.99,88.6
3060.262084,-26.16,67.5
3060.262084,-24.06,85
3060.262084,-22.11,85.8
2949.35975,-27.38,35.4
2949.35975,-25.4,36.5
2949.35975,-26.45,37.3
2949.35975,-23.85,72.1
2949.35975,-21,94.2
2949.35975,-18.88,97.1
2949.35975,-16.52,104.8
2886.098498,-23.73,63.2
2886.098498,-20.83,83.9
2886.098498,-19.35,85.5
2886.098498,-22.27,86.3
2886.098498,-17.92,95.1
2557.243116,-21.68,97.9
2513.826512,-18.83,82.2
2513.826512,-21.33,92
2513.826512,-17.83,94.5
2513.826512,-19.83,96.8
2513.826512,-16.92,98.9
2391.414292,-24.17,30.1
