code A,code B,位置,開始年,,,終了年,,,,ボーリング上面の標高,ボーリング長さ,,N0,E0,,,,深度,標高,,,,,礫,砂,シルト,粘土,wl0,wp,土粒子密度,w,湿潤密度,間隙比,飽和度
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 2,3,3.8,3.4,-20,T- 2,P002,T- 2,P002,0,1,56,43,99,27.2,2.696,94.4,1.475,2.554,99.7
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 3,5,5.8,5.4,-22,T- 3,P003,T- 3,P003,0,2,46,52,97.3,30.1,2.693,86.9,1.502,2.352,99.6
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 4,7,7.8,7.4,-24,T- 4,P004,T- 4,P004,0,1,55,44,90.7,28.4,2.679,80.9,1.525,2.177,99.6
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 5,9,9.8,9.4,-26,T- 5,P005,T- 5,P005,0,2,51,47,96.2,28.1,2.669,80.9,1.523,2.169,99.5
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 6,11,11.8,11.4,-28,T- 6,P006,T- 6,P006,0,1,49,50,95.4,29.7,2.698,78.7,1.538,2.136,99.4
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 7,13,13.8,13.4,-30,T- 7,P007,T- 7,P007,0,1,54,45,93.4,30.2,2.679,77.9,1.538,2.099,99.4
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 8,15,15.8,15.4,-32,T- 8,P008,T- 8,P008,0,1,49,50,89.2,26.8,2.659,74.2,1.552,1.984,99.5
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 9,17,17.8,17.4,-34,T- 9,P009,T- 9,P009,0,1,49,50,88.8,26.2,2.695,72.4,1.57,1.96,99.6
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T-10,19,19.8,19.4,-36,T-10,P010,T-10,P010,0,1,53,46,89.7,24.2,2.696,71.2,1.576,1.929,99.5
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T-11,21,21.8,21.4,-38,T-11,P011,T-11,P011,0,2,48,50,89.9,25.4,2.703,67.7,1.598,1.838,99.6
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T-12,23,23.8,23.4,-40,T-12,P012,T-12,P012,0,2,42,56,102.2,28.6,2.698,77.7,1.542,2.108,99.4
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T-13,25,25.4,25.2,-41.8,T-13,P013,T-13,P013,0,3,48,49,83.6,25.7,2.718,56.8,1.67,1.551,99.5
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,P- 1,26.15,26.45,26.3,-42.9,P- 1,P014,P- 1,P014,0,0,46,54,0,0,2.648,53.5,0,0,0
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T-14,27,27.8,27.4,-44,T-14,P015,T-14,P015,0,0,44,56,82.8,25.2,2.713,54.8,1.685,1.492,99.6
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T-15,29,29.8,29.4,-46,T-15,P016,T-15,P016,0,0,42,58,78.8,24.4,2.709,50,1.719,1.364,99.2
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T- 1,1,1.8,1.4,-17.3,T- 1,P001,T- 1,P001,0,2,43,55,94.9,39.5,2.672,92.4,1.493,2.444,101
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T- 2,3,3.8,3.4,-19.3,T- 2,P002,T- 2,P002,0,1,49,50,94.3,33.4,2.658,84.3,1.501,2.263,99
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T- 3,5,5.8,5.4,-21.3,T- 3,P003,T- 3,P003,0,0,37,63,94,33.5,2.646,79.3,1.527,2.107,99.6
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T- 4,7,7.8,7.4,-23.3,T- 4,P004,T- 4,P004,0,0,41,59,88.9,36.5,2.636,77.4,1.538,2.04,100
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T- 5,9,9.8,9.4,-25.3,T- 5,P005,T- 5,P005,0,0,36,64,94.9,36.1,2.634,79.8,1.527,2.101,100.1
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T- 6,11,11.8,11.4,-27.3,T- 6,P006,T- 6,P006,0,0,39,61,95.6,36,2.656,76.8,1.542,2.045,99.7
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T- 7,13,13.8,13.4,-29.3,T- 7,P007,T- 7,P007,0,0,39,61,89.6,34.7,2.648,71,1.572,1.882,100
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T- 8,15,15.8,15.4,-31.3,T- 8,P008,T- 8,P008,0,0,36,64,94.2,34.3,2.667,72.1,1.572,1.918,100.2
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T- 9,17,17.8,17.4,-33.3,T- 9,P009,T- 9,P009,0,0,37,63,92.9,34.2,2.661,69.1,1.574,1.858,98.9
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T-10,19,19.8,19.4,-35.3,T-10,P010,T-10,P010,0,1,35,64,94,32.1,2.668,69,1.585,1.844,99.8
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T-11,21,21.8,21.4,-37.3,T-11,P011,T-11,P011,0,1,29,70,104.6,36,2.644,77.7,1.532,2.067,99.4
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T-12,23,23.8,23.4,-39.3,T-12,P012,T-12,P012,2,42,22,34,58.4,24.4,2.655,53.6,1.667,1.447,98.3
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T-13,25,25.8,25.4,-41.3,T-13,P013,T-13,P013,0,0,42,58,72.1,25,2.681,47.8,1.723,1.299,98.6
O986P574,No.4    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,29,1998,8,9,KP,-15.9,33.5,0,34.6360487,135.2321468,T-14,27,27.6,27.3,-43.2,T-14,P014,T-14,P014,0,3,28,69,71.6,27.1,2.678,47.9,1.723,1.3,98.5
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T- 1,1,1.8,1.4,-17.13,T- 1,P001,T- 1,P001,0,3,54,43,95.3,31.2,2.691,89,1.495,2.403,99.7
