code A,code B,位置,N0,E0,試験深度,砂,シルト,粘土,土粒子密度,distance,wl0
O615K046,No.57-11,"大阪府泉州沖海域                    ",34.4277919,135.2341767,-23.4,0,39,61,2.628,4419.678326,105.4
O621K105,"No.B-3  ","大阪府泉州沖海域                    ",34.4366669,135.2655547,-22.5,1,51,48,2.667,5411.407063,105.4
O619K068,No.60B-3,"大阪府泉州沖海域                    ",34.4297217,135.2725,-23.4,3,39,58,2.69,4419.678326,105.4
O621K112,"No.D-5  ","大阪府泉州沖海域                    ",34.4319447,135.2627783,-20.3,1,45,54,2.649,5265.068009,104.8
O227P088,"No.16   ","神戸港第２，第３防波堤附近          ",34.6654881,135.21556,-16.52,7,49,44,2.7,2949.35975,104.8
O619K069,No.60B-4,"大阪府泉州沖海域                    ",34.4272217,135.2758331,-22.4,4,42,54,2.648,4006.338913,104.5
O621K107,"No.C-2  ","大阪府泉州沖海域                    ",34.411945,135.2452783,-19.3,4,47,49,2.677,6990.425817,104.4
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-19.3,1,50,49,2.723,6990.425817,104.4
O617K038,"No.57-3 ","大阪府泉州沖海域                    ",34.4388286,135.2637933,-25.7,1,46,53,2.666,5694.240586,104.4
O620K094,"No.E-4  ","大阪府泉州沖海域                    ",34.4370886,135.2575383,-23.3,0,47,53,2.662,5996.489008,104.3
O620K089,"No.A-6  ","大阪府泉州沖海域                    ",34.4406667,135.2584533,-19.3,1,37,62,2.68,6191.427442,104.3
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-20.4,1,42,57,2.706,7253.408904,104.1
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-23.4,1,37,62,2.673,7253.408904,104.0
O621K105,"No.B-3  ","大阪府泉州沖海域                    ",34.4366669,135.2655547,-20.5,0,47,53,2.665,5411.407063,104.0
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-24.93,3,57,40,2.608,6000.036445,103.9
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-18.25,2,55,43,2.663,7305.673507,103.8
S284Q395,"KW00279 ","神戸市生田区新港町新港第４突堤地先  ",34.6723889,135.2093889,-16.48,8,55,37,2.683,2032.686551,103.8
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-18.25,2,55,43,2.663,7305.673507,103.8
O616K050,No.57-15,"大阪府泉州沖海域                    ",34.43845,135.2453467,-25.3,0,52,48,2.661,6990.425817,103.7
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-25.3,1,53,46,2.656,6990.425817,103.7
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-22.8,0,44,56,2.66,5710.841483,103.5
O616K050,No.57-15,"大阪府泉州沖海域                    ",34.43845,135.2453467,-21.3,0,48,52,2.671,6191.427442,103.4
O620K089,"No.A-6  ","大阪府泉州沖海域                    ",34.4406667,135.2584533,-21.3,1,40,59,2.673,6191.427442,103.4
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-25.23,2,48,50,2.694,7305.673507,103.4
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-25.23,2,48,50,2.694,7305.673507,103.4
O620k088,"No.A-5  ","大阪府泉州沖海域                    ",34.441005,135.2545467,-24.9,0,46,54,2.708,6485.585409,103.3
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-26.4,2,47,51,2.665,4972.503694,103.0
O621K098,"No.A-1  ","大阪府泉州沖海域                    ",34.4188883,135.2216664,-24.4,3,50,47,2.672,7253.408904,102.9
O617K047,No.57-12,"大阪府泉州沖海域                    ",34.4217219,135.225265,-24.4,1,41,58,2.788,7253.408904,102.9
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-24.4,1,48,51,2.691,7253.408904,102.9
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-26.4,1,47,52,2.676,7253.408904,102.8
O620K090,"No.A-7  ","大阪府泉州沖海域                    ",34.4403264,135.26236,-25.1,0,44,56,2.682,5904.530147,102.7
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-22.24,2,52,46,2.647,7305.673507,102.7
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-22.24,2,52,46,2.647,7305.673507,102.7
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-20.3,1,51,48,2.707,6990.425817,102.4
O620K094,"No.E-4  ","大阪府泉州沖海域                    ",34.4370886,135.2575383,-25.3,0,44,56,2.672,5996.489008,102.4
O621K105,"No.B-3  ","大阪府泉州沖海域                    ",34.4366669,135.2655547,-24.5,1,54,45,2.665,5411.407063,102.2
O668ka37,"No.OT-1 ","大阪府泉州沖空港島海域              ",34.4369986,135.2659536,-20.4,1,35,64,2.694,5410.413895,102.1
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-16.9,2,51,47,2.673,6000.036445,101.9
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-25.4,1,41,58,2.686,7253.408904,101.5
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-28.23,1,57,42,2.665,7305.673507,101.3
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-28.23,1,57,42,2.665,7305.673507,101.3
O621K112,"No.D-5  ","大阪府泉州沖海域                    ",34.4319447,135.2627783,-18.3,0,49,51,2.64,5265.068009,100.8
O612K012,"No.56-2 ","大阪府泉州沖海域                    ",34.4272217,135.2752783,-22.6,4,58,38,2.656,4044.386165,100.8
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-20.93,4,57,39,2.645,6000.036445,100.6
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-21.4,1,43,56,2.69,7253.408904,100.5
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-18.93,2,58,40,2.704,6000.036445,100.4
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-26.93,1,54,45,2.665,6000.036445,100.4
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-22.93,1,57,42,2.669,6000.036445,100.3
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-28.93,1,54,45,2.6,6000.036445,100.3
O617K038,"No.57-3 ","大阪府泉州沖海域                    ",34.4388286,135.2637933,-24.7,1,47,52,2.651,5694.240586,100.2
O617K038,"No.57-3 ","大阪府泉州沖海域                    ",34.4388286,135.2637933,-26.7,1,47,52,2.659,5694.240586,100.1
O621K116,"No.E-8  ","大阪府泉州沖海域                    ",34.4344453,135.261945,-22.6,0,50,50,2.657,5497.321108,100.0
O619K068,No.60B-3,"大阪府泉州沖海域                    ",34.4297217,135.2725,-24.4,1,34,65,2.665,4419.678326,100.0
O201P005,"No.2    ","神戸市生田区新港町・茸合区小野浜町  ",34.6555619,135.2243719,-22.2,8,42,50,2.681,4292.002543,100.0
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-22.3,1,42,57,2.68,6990.425817,99.8
O620K089,"No.A-6  ","大阪府泉州沖海域                    ",34.4406667,135.2584533,-23.3,2,37,61,2.669,6191.427442,99.8
O619K067,No.60B-2,"大阪府泉州沖海域                    ",34.4316667,135.2697214,-24.4,2,48,50,2.647,4753.818703,99.8
S284Q395,"KW00279 ","神戸市生田区新港町新港第４突堤地先  ",34.6723889,135.2093889,-19.48,3,63,34,2.666,2032.686551,99.6
O223p058,"No.2    ","神戸港第三防波堤附近                ",34.6770833,135.2132283,-18.35,5,39,56,2.632,1714.950863,99.5
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-24.8,1,48,51,2.677,5710.841483,99.3
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288593,135.237698,-20.55,0,43,57,2.689,7488.591954,99.2
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288611,135.2376939,-20.55,0,43,57,2.689,7488.591954,99.2
O616K050,No.57-15,"大阪府泉州沖海域                    ",34.43845,135.2453467,-26.3,0,51,49,2.67,6990.425817,99.1
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-26.3,1,52,47,2.644,6990.425817,99.1
O997P668,"No.2    ",神戸市中央区港島及び港島南町の地先公,34.6458061,135.2320561,-23.95,1,46,53,2.674,5578.633574,99.1
O231P127,"No.P-11 ","神戸港新埠頭                        ",34.6637481,135.2214614,-21.5,0,66,34,2.667,3368.676215,99.0
O997P668,"No.2    ",神戸市中央区港島及び港島南町の地先公,34.6458061,135.2320561,-17.95,2,46,52,2.687,5578.633574,99.0
O620k097,"No.G-1  ","大阪府泉州沖海域                    ",34.4419933,135.2547603,-21.0,0,34,66,2.671,6542.298244,98.9
O619K070,No.60B-5,"大阪府泉州沖海域                    ",34.4252783,135.2783336,-20.4,1,60,39,2.669,3691.310124,98.9
O237p182,"No.6    ","神戸市生田区神戸港外海面            ",34.6697917,135.2154369,-16.92,1,45,54,2.669,2513.826512,98.9
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-15.3,1,52,47,2.677,3961.401947,98.9
O620K089,"No.A-6  ","大阪府泉州沖海域                    ",34.4406667,135.2584533,-25.3,2,41,57,2.663,6191.427442,98.8
O668ka37,"No.OT-1 ","大阪府泉州沖空港島海域              ",34.4369986,135.2659536,-24.4,1,37,62,2.706,5410.413895,98.8
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-18.3,0,55,45,2.687,3961.401947,98.7
O620k088,"No.A-5  ","大阪府泉州沖海域                    ",34.441005,135.2545467,-26.9,1,50,49,2.703,6485.585409,98.6
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293593,135.2420321,-19.2,2,38,60,2.71,7618.316711,98.6
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293611,135.2420281,-19.2,2,38,60,2.71,7618.316711,98.6
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-24.3,2,50,48,2.68,6990.425817,98.4
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-28.3,1,51,48,2.656,6990.425817,98.3
O621K112,"No.D-5  ","大阪府泉州沖海域                    ",34.4319447,135.2627783,-22.3,0,56,44,2.653,5265.068009,98.1
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288593,135.237698,-18.55,0,42,58,2.681,7488.591954,98.1
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-22.3,1,45,54,2.681,3961.401947,98.1
O988P607,"No.2-17 ",神戸市中央区港島９丁目の地先公有水面,34.6288611,135.2376939,-18.55,0,42,58,2.681,7488.591954,98.1
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-23.8,0,48,52,2.671,5710.841483,98.0
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-27.4,1,41,58,2.703,7253.408904,97.9
O662ka03,"No.S.3  ","泉州沖海域（空港島内）　　　　　　  ",34.435935,135.261475,-20.35,1,41,58,2.656,5636.261618,97.9
S315Q570,"KW01021 ","神戸市生田区港島地内他              ",34.6703056,135.2174722,-21.68,2,31,67,2.65,2557.243116,97.9
S326Q648,"KW04092 ","ポ−トアイランド南公園              ",34.6607778,135.21925,-27.03,1,34,65,2.729,3564.921362,97.9
S212P992,"KK00799 ","神戸市生田区ＩＳＱ国際交流会館敷地  ",34.66275,135.2169167,-22.62,1,39,60,0.0,3277.467006,97.8
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-27.3,2,55,43,2.648,6990.425817,97.7
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-30.93,1,51,48,2.702,6000.036445,97.6
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-34.93,1,53,46,2.712,6000.036445,97.6
O609K013,"No.56-3 ","大阪府泉州沖海域                    ",34.4353603,135.2673497,-25.2,1,43,56,2.63,5192.00076,97.5
S284Q395,"KW00279 ","神戸市生田区新港町新港第４突堤地先  ",34.6723889,135.2093889,-21.38,5,38,57,2.674,2032.686551,97.5
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-21.3,1,41,58,2.691,3961.401947,97.4
O223p057,"No.1    ","神戸港第２防波堤                    ",34.6770833,135.2132614,-17.3,7,40,53,2.644,1716.661485,97.3
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-20.3,0,56,44,2.68,3961.401947,97.3
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-36.25,0,51,49,2.68,7305.673507,97.2
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290263,135.2398652,-19.93,1,38,61,2.687,7559.295029,97.2
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-36.25,0,51,49,2.68,7305.673507,97.2
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290281,135.2398611,-19.93,1,38,61,2.687,7559.295029,97.2
